"id";"name";"age";"salary";"gender";"department";"position";"joining_date";"performance_score";"email";"phone_number"
1;"Grace";25;50000;"";"HR";"Manager";"";"D";"email@example.c";""
2;"David";0;65000;"";"Finance";"Director";"";"F";"user@domain.com";"123-456-7890"
3;"Hannah";35;600000;"";"Sales";"Director";"";"C";"email@example.c";"098-765-4321"
4;"Eve";0;50000;"";"IT";"Manager";"";"A";"name@company.or";""
5;"Grace";0;0;"";"Finance";"Manager";"";"F";"name@company.or";"098-765-4321"
6;"Jack";0;65000;"";"Marketing";"Director";"";"F";"user@domain.com";""
7;"Charlie";0;50000;"";"Marketing";"Clerk";"";"B";"";"123-456-7890"
8;"Grace";40;50000;"";"HR";"Director";"";"C";"";""
9;"Hannah";40;600000;"";"Marketing";"Manager";"";"C";"user@domain.com";"123-456-7890"
10;"Eve";30;0;"";"Finance";"Assistant";"";"A";"";""
11;"David";25;70000;"";"Marketing";"Analyst";"";"B";"";"123-456-7890"
12;"Hannah";0;70000;"";"Finance";"Assistant";"";"A";"";""
13;"Hannah";30;50000;"";"IT";"Assistant";"";"D";"";""
14;"Charlie";25;55000;"";"HR";"Manager";"";"F";"";"555-555-5555"
15;"Frank";50;0;"";"Marketing";"Director";"";"A";"";"123-456-7890"
16;"Eve";35;65000;"";"Finance";"Clerk";"";"F";"";"123-456-7890"
17;"Bob";40;55000;"";"Sales";"Assistant";"";"B";"";"098-765-4321"
18;"Hannah";50;55000;"";"HR";"Director";"";"D";"user@domain.com";""
19;"Frank";25;0;"";"IT";"Clerk";"";"B";"email@example.c";"555-555-5555"
20;"Bob";50;50000;"";"Finance";"Assistant";"";"D";"user@domain.com";""
21;"Eve";35;50000;"";"IT";"Clerk";"";"D";"email@example.c";"098-765-4321"
22;"Alice";25;50000;"";"IT";"Director";"";"F";"user@domain.com";"555-555-5555"
23;"Jack";50;50000;"";"Marketing";"Analyst";"";"B";"email@example.c";""
25;"Ivy";40;50000;"";"Finance";"Manager";"";"A";"name@company.or";"123-456-7890"
26;"Alice";30;70000;"";"Sales";"Clerk";"";"B";"email@example.c";"123-456-7890"
27;"Jack";50;70000;"";"Finance";"Analyst";"";"A";"email@example.c";"098-765-4321"
28;"Charlie";0;50000;"";"Sales";"Clerk";"";"C";"name@company.or";""
29;"Grace";50;600000;"";"IT";"Clerk";"";"C";"";""
30;"David";25;65000;"";"HR";"Assistant";"";"C";"";"555-555-5555"
31;"Ivy";25;55000;"";"Finance";"Manager";"";"B";"name@company.or";"098-765-4321"
32;"Charlie";50;70000;"";"Finance";"Clerk";"";"B";"";""
33;"Eve";35;0;"";"Sales";"Director";"";"A";"email@example.c";"123-456-7890"
34;"Charlie";40;0;"";"IT";"Director";"";"D";"email@example.c";"555-555-5555"
35;"Grace";25;65000;"";"IT";"Assistant";"";"A";"name@company.or";""
36;"Eve";40;0;"";"Sales";"Manager";"";"C";"name@company.or";"123-456-7890"
37;"Ivy";25;600000;"";"IT";"Manager";"";"A";"";"098-765-4321"
38;"Grace";30;0;"";"Marketing";"Director";"";"D";"";""
39;"Bob";0;55000;"";"HR";"Analyst";"";"B";"user@domain.com";"123-456-7890"
40;"David";25;55000;"";"Finance";"Assistant";"";"A";"";""
41;"Ivy";40;70000;"";"HR";"Assistant";"";"C";"email@example.c";""
42;"Bob";30;50000;"";"Finance";"Director";"";"C";"name@company.or";"098-765-4321"
43;"Jack";25;600000;"";"Marketing";"Director";"";"B";"";"123-456-7890"
44;"Ivy";35;70000;"";"IT";"Analyst";"";"A";"";"555-555-5555"
45;"Jack";0;600000;"";"Sales";"Analyst";"";"D";"";"123-456-7890"
46;"Eve";25;50000;"";"Marketing";"Manager";"";"B";"";""
47;"Bob";30;0;"";"HR";"Assistant";"";"A";"email@example.c";"098-765-4321"
48;"David";35;0;"";"Sales";"Assistant";"";"F";"user@domain.com";"098-765-4321"
49;"Grace";50;50000;"";"IT";"Director";"";"C";"";"555-555-5555"
50;"Hannah";30;70000;"";"Marketing";"Manager";"";"D";"";"098-765-4321"
51;"Charlie";30;50000;"";"Sales";"Assistant";"";"D";"user@domain.com";"098-765-4321"
52;"Alice";35;65000;"";"Marketing";"Manager";"";"D";"";"098-765-4321"
53;"David";30;55000;"";"Marketing";"Manager";"";"C";"";"098-765-4321"
54;"Bob";35;70000;"";"IT";"Director";"";"A";"";"098-765-4321"
55;"Hannah";25;600000;"";"Finance";"Manager";"";"B";"";""
57;"Bob";35;70000;"";"IT";"Analyst";"";"B";"email@example.c";""
58;"Frank";0;50000;"";"Marketing";"Clerk";"";"D";"";"098-765-4321"
59;"Frank";35;50000;"";"IT";"Director";"";"A";"email@example.c";""
60;"Jack";35;50000;"";"Finance";"Clerk";"";"D";"user@domain.com";""
61;"David";50;50000;"";"Sales";"Analyst";"";"F";"user@domain.com";""
62;"Frank";25;600000;"";"Finance";"Clerk";"";"D";"";"098-765-4321"
63;"Bob";0;65000;"";"HR";"Director";"";"D";"";""
64;"Jack";50;0;"";"Sales";"Director";"";"B";"name@company.or";"098-765-4321"
65;"Bob";40;55000;"";"Finance";"Manager";"";"F";"user@domain.com";"555-555-5555"
66;"Jack";25;600000;"";"Marketing";"Assistant";"";"D";"";"555-555-5555"
67;"David";25;600000;"";"Sales";"Manager";"";"D";"email@example.c";"555-555-5555"
68;"Hannah";40;0;"";"Sales";"Director";"";"F";"";""
69;"Grace";35;0;"";"IT";"Analyst";"";"F";"email@example.c";"555-555-5555"
70;"Ivy";50;55000;"";"Marketing";"Analyst";"";"A";"user@domain.com";""
71;"Hannah";30;55000;"";"HR";"Manager";"";"B";"user@domain.com";""
72;"Eve";0;0;"";"Finance";"Director";"";"F";"email@example.c";""
73;"Bob";30;50000;"";"IT";"Analyst";"";"F";"user@domain.com";"098-765-4321"
74;"Eve";40;600000;"";"Finance";"Director";"";"C";"";"123-456-7890"
75;"Hannah";25;70000;"";"HR";"Analyst";"";"F";"user@domain.com";"098-765-4321"
76;"Jack";25;55000;"";"HR";"Director";"";"B";"";"098-765-4321"
77;"Ivy";0;55000;"";"Sales";"Clerk";"";"D";"";"098-765-4321"
79;"Alice";25;65000;"";"Finance";"Director";"";"D";"user@domain.com";"123-456-7890"
80;"Ivy";0;70000;"";"Marketing";"Manager";"";"D";"user@domain.com";"555-555-5555"
81;"Grace";50;70000;"";"Marketing";"Clerk";"";"C";"";"098-765-4321"
82;"Ivy";50;55000;"";"Sales";"Assistant";"";"F";"";""
83;"Hannah";0;50000;"";"Finance";"Manager";"";"D";"email@example.c";""
84;"Alice";40;65000;"";"Finance";"Assistant";"";"A";"email@example.c";""
85;"Hannah";25;70000;"";"HR";"Analyst";"";"D";"email@example.c";""
86;"Hannah";25;55000;"";"Finance";"Assistant";"";"F";"";"098-765-4321"
87;"Charlie";40;70000;"";"IT";"Director";"";"D";"email@example.c";"123-456-7890"
88;"Alice";50;65000;"";"HR";"Assistant";"";"C";"email@example.c";"555-555-5555"
89;"Hannah";35;65000;"";"IT";"Manager";"";"B";"name@company.or";""
91;"Charlie";35;0;"";"Marketing";"Assistant";"";"F";"user@domain.com";"123-456-7890"
92;"Alice";50;0;"";"Sales";"Manager";"";"B";"";""
93;"Eve";50;55000;"";"Marketing";"Manager";"";"B";"";"555-555-5555"
94;"Jack";40;65000;"";"Sales";"Assistant";"";"A";"name@company.or";"123-456-7890"
95;"Grace";25;600000;"";"Finance";"Clerk";"";"F";"";"555-555-5555"
96;"Jack";40;600000;"";"IT";"Clerk";"";"F";"";"098-765-4321"
97;"Ivy";40;70000;"";"Marketing";"Analyst";"";"B";"user@domain.com";"123-456-7890"
99;"Ivy";35;600000;"";"IT";"Assistant";"";"B";"user@domain.com";"098-765-4321"
101;"Bob";25;65000;"";"IT";"Director";"";"D";"email@example.c";"123-456-7890"
102;"Alice";50;50000;"";"IT";"Manager";"";"C";"";""
103;"Grace";35;65000;"";"Sales";"Manager";"";"F";"email@example.c";""
104;"Grace";30;600000;"";"Marketing";"Clerk";"";"A";"name@company.or";"123-456-7890"
105;"Hannah";30;600000;"";"Marketing";"Assistant";"";"D";"name@company.or";"098-765-4321"
106;"Eve";50;65000;"";"IT";"Manager";"";"A";"name@company.or";"098-765-4321"
107;"Charlie";0;70000;"";"Finance";"Clerk";"";"F";"";"123-456-7890"
108;"Hannah";25;70000;"";"Finance";"Analyst";"";"F";"user@domain.com";""
109;"Frank";30;0;"";"HR";"Clerk";"";"A";"";""
111;"Alice";50;55000;"";"Sales";"Clerk";"";"A";"";"123-456-7890"
112;"Charlie";35;0;"";"IT";"Manager";"";"F";"user@domain.com";""
113;"Eve";0;70000;"";"HR";"Manager";"";"B";"user@domain.com";""
114;"Charlie";25;65000;"";"HR";"Analyst";"";"A";"";"098-765-4321"
115;"Alice";40;70000;"";"IT";"Director";"";"D";"name@company.or";"555-555-5555"
117;"Jack";30;0;"";"HR";"Director";"";"C";"user@domain.com";"098-765-4321"
118;"Grace";30;600000;"";"Sales";"Analyst";"";"C";"";"098-765-4321"
119;"Grace";35;70000;"";"Marketing";"Director";"";"D";"";""
120;"Ivy";50;65000;"";"Sales";"Director";"";"B";"email@example.c";""
